Name_ID,Name,Female,Male,Sex,Age,Class/Dept,Class,Ticket,Joined,Occupation,Boat [Body],Price,Job,Survived,URL,Last,Title,First,DoB,Year_Birth,Date_Death,DoB_Clean,Age_F_Code,Age_F,sibsp,parch
531,"DEAN, Miss Elizabeth Gladys 'Millvina' ",1,0,female,0.17000000000000001,3rd Class Passenger,3,2315,Southampton,,10,£20 11s 6d,,1,/titanic-survivor/millvina-dean.html,DEAN,Miss,Elizabeth Gladys 'Millvina',2-02-1912,,5-31-2009,2-02-1912,C,0.20000000000000001,1,2
498,"DANBOM, Master Gilbert Sigvard Emanuel ",0,1,male,0.33000000000000002,3rd Class Passenger,3,347080,Southampton,,  ,£14 8s,,0,/titanic-victim/gilbert-sigvard-emanuel-danbom.html,DANBOM,Master,Gilbert Sigvard Emanuel,11-16-1911,,4-15-1912,11-16-1911,C,0,0,2
1961,"TANNuS, Master As'ad ",0,1,male,0.41999999999999998,3rd Class Passenger,3,2625,Cherbourg,,16,£8 10s 4d,,1,/titanic-survivor/assad-alexander-thomas-tannous.html,TANNuS,Master,As'ad,11-08-1911,,6-12-1931,11-08-1911,C,0,0,1
811,"HäMäLäINEN, Master Viljo Unto Johannes ",0,1,male,0.57999999999999996,2nd Class Passenger,2,250649,Southampton,,4,£14 10s,,1,/titanic-survivor/viljo-hamalainen.html,HäMäLäINEN,Master,Viljo Unto Johannes,8-29-1911,, ,8-29-1911,C,1,1,1
1551,"PEACOCK, Master Albert Edward ",0,1,male,0.57999999999999996,3rd Class Passenger,3,3101315,Southampton,,  ,£13 15s 6d,,0,/titanic-victim/albert-edward-peacock.html,PEACOCK,Master,Albert Edward,9-08-1911,,4-15-1912,9-08-1911,C,1,1,1
101,"BACLINI, Miss Helene Barbara ",1,0,female,0.75,3rd Class Passenger,3,2666,Cherbourg,,C ,£19 5s 2d,,1,/titanic-survivor/helene-baclini.html,BACLINI,Miss,Helene Barbara,7-12-1911,,4-28-1939,7-12-1911,C,1,2,1
1682,"RICHARDS, Master Sibley George ",0,1,male,0.75,2nd Class Passenger,2,29106,Southampton,,4,£18 15s,,1,/titanic-survivor/sibley-george-richards.html,RICHARDS,Master,Sibley George,6-17-1911,,12-04-1987,6-17-1911,C,1,1,1
19,"AKS, Master Frank Philip ",0,1,male,0.82999999999999996,3rd Class Passenger,3,392091,Southampton,,11,£9 7s,,1,/titanic-survivor/frank-philip-aks.html,AKS,Master,Frank Philip,6-07-1911,,7-15-1991,6-07-1911,C,1,0,1
318,"CALDWELL, Master Alden Gates ",0,1,male,0.82999999999999996,2nd Class Passenger,2,248738,Southampton,,13,£29,,1,/titanic-survivor/alden-gates-caldwell.html,CALDWELL,Master,Alden Gates,6-10-1911,,12-18-1992,6-10-1911,C,1,0,2
2117,"WEST, Miss Barbara Joyce ",1,0,female,0.82999999999999996,2nd Class Passenger,2,34651,Southampton,,10,£27 15s,,1,/titanic-survivor/barbara-joyce-west.html,WEST,Miss,Barbara Joyce,5-24-1911,,10-16-2007,5-24-1911,C,1,1,2
35,"ALLISON, Master Hudson Trevor ",0,1,male,0.92000000000000004,1st Class Passenger,1,113781,Southampton,,11,£151 16s,,1,/titanic-survivor/trevor-allison.html,ALLISON,Master,Hudson Trevor,5-07-1911,,8-07-1929,5-07-1911,C,1,1,2
159,"BECKER, Master Richard F. ",0,1,male,1,2nd Class Passenger,2,230136,Southampton,,11,£39,,1,/titanic-survivor/richard-becker.html,BECKER,Master,Richard F.,6-26-1910,,9-06-1975,6-26-1910,C,1,2,1
530,"DEAN, Master Bertram Vere ",0,1,male,1,3rd Class Passenger,3,2315,Southampton,,10,£20 11s 6d,,1,/titanic-survivor/bertram-vere-dean.html,DEAN,Master,Bertram Vere,5-21-1910,,4-14-1992,5-21-1910,C,1,1,2
762,"GOODWIN, Master Sidney Leslie ",0,1,male,1,3rd Class Passenger,3,2144,Southampton,, [4],£46 18s,,0,/titanic-victim/sidney-leslie-goodwin.html,GOODWIN,Master,Sidney Leslie,9-09-1910,,4-15-1912,9-09-1910,C,1,5,2
1023,"JOHNSON, Miss Eleanor Ileen ",1,0,female,1,3rd Class Passenger,3,347742,Southampton,,15,£11 2s 8d,,1,/titanic-survivor/eleanor-ileen-johnson.html,JOHNSON,Miss,Eleanor Ileen,9-23-1910,,3-07-1998,9-23-1910,C,1,1,1
1119,"KLASéN, Miss Gertrud Emilia ",1,0,female,1,3rd Class Passenger,3,350405,Southampton,,  ,£12 3s 8d,,0,/titanic-victim/gertrud-emilia-klasen.html,KLASéN,Miss,Gertrud Emilia,12-11-1910,,4-15-1912,12-11-1910,C,1,1,1
1147,"LAROCHE, Miss Louise ",1,0,female,1,2nd Class Passenger,2,2123,Cherbourg,,14,£41 11s 7d,,1,/titanic-survivor/louise-laroche.html,LAROCHE,Miss,Louise,7-02-1910,,1-25-1998,7-02-1910,C,1,1,2
1249,"MALLET, Master André Clement ",0,1,male,1,2nd Class Passenger,2,2079,Cherbourg,,10,£37 1d,,1,/titanic-survivor/andre-clement-mallet.html,MALLET,Master,André Clement,6-11-1910,,9-22-1973,6-11-1910,C,1,0,2
1421,"NAKID, Miss Maria ",1,0,female,1,3rd Class Passenger,3,2653,Cherbourg,,C ,£15 14s 10d,,1,/titanic-survivor/maria-nakid.html,NAKID,Miss,Maria,,,7-30-1912,5-15-1910,D,1,0,2
